NRO.;NOMBRE DE LA EMPRESA;RUBRO;DIRECCION;DEPARTAMENTO ;CONTACTO;CORREO ELECTRONICO;PAGINA WEB;
2691;"INSTITUTO PROFESIONAL ""LOS ÁNGELES"" ";INFORMATICA Y ACTIVIDADES CONEXAS (ANALISTA, PROGRAMADOR, PAQUETES, APLICACIONES, ACCESS COMPLETO,VISUAL FOXPRO, SQL SEVER,ADMINISTRACIÓN -SQL, REDES);C. Ballivian Nº. 1421;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2692;"INSTITUTO PROFESIONAL DE LABORATORIOS DENTALES ""ILLIMANI"" ";SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. Tumusla Ed. La Salvadora N°. 537 4to. Nivel;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2693;"INSTITUTO PROFESIONAL LATIONAMERICANO ""IPLA""";SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Plaza del Bicentenario Ed.. ROMAN P. 4.;La Paz;no brinda esta informacón;iplabolivia@hotmai.com;no brinda esta información;
2694;INSTITUTO SEMBRAR;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z.Sopocachi, C. Sanchez Lima Nº. 2512 Ed. Melissa, Mezanine A;La Paz;No brinda este dato;info@sembrarsartawi.org;www.fundacionsembrar.org/;
2695;INSTITUTO SPEAK EASI;INGLES, ESPAÑOL, ALEMAN, FRANCES, JAPONES, PORTUGUES, AYMARA, QUECHUA Y CHINO MANDARÍN;Zona:Central Arce Ed. Indira Orellana Nº 2047;La Paz;;speakeasyinstituto@yahoo.com;;
2696;INSTITUTO SUPERIOR DE EDUCACIÓN TEOLÓGICA AMIGOS;EDUCACION FORMAL y NO FORMAL (NIVELACION,IDIOMAS, MUSICA, DANZA, NATACION Y OTROS);C. Max Paredes N°. 776;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2697;"INSTITUTO SUPERIOR DE FORMACIÓN ESPECIALIZADA ""LIFE"" (COORPORACIÓN LIFE)";ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Plaza del Estudiante N°. 1920;La Paz;no brinda esta informacón;instlife@entelnet.bo;www.life.gnb.com.bo;
2698;INSTITUTO SUPERIOR ECUMENICO ANDINO TEOLOGIA;EDUCACIÓN (FORMAL, NO FORMAL A NIVEL LICENCIATURA);Z. Central C.Aspiazu Nº 2180;La Paz;;;www.iseatbolivia.org;
2699;INSTITUTO SUPERIOR SAN PABLO;EDUCACIÓN (FORMAL, NO FORMAL A NIVEL LICENCIATURA);Av. Jorge Carrasco N° 47 entre C. 2 y 3 Z. 12 de Octubre;La Paz;No brinda este dato;institutosuperiorsanpablo@yahoo.com;info@isspa.edu.bo;
2700;"INSTITUTO TÉCNICO AUTOMOTRIZ BOLIVIANO ""ITAB"" ";VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C. Otero de la Vega Nº. 406 Esq.20 de Octubre Z. San Pedro;La Paz;no brinda esta informacón;no brinda esta información;www.institutoitab.com;
2701;"INSTITUTO TÉCNICO DE EXCELENCIA ""I.T.E.""";SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. Montes Nº. 768 Ed. de Colegio Segundo Piso Z. Central;La Paz;no brinda esta informacón;excelencia@institutoite.com;www.institutoite.com;
2702;"INSTITUTO TÉCNICO DE SALUD ""SANTA RITA"" ";SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Of. Central C. Tumusla Nº. 422 y C. Manco Kapac Nº 304 Galeria Metropoli P. 2 Of. 301-302;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2703;"INSTITUTO TÉCNICO MULTIDISCIPLINARIO ""I.T.M.""";ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Av. Pando Nº 330, Esq. America, Ed. ZAIDUNI;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2704;INSTITUTO TÉCNICO SEÑOR DE MAYO LA PAZ;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;C. Illampu N°. 614, Esq. PLAZA Eguino;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2705;"INSTITUTO TÉCNICO SUPERIOR ""SAN ALBERTO"" ";ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. CentralL C. Figueroa Nº. 788;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
2706;"INSTRUMENTOS Y CONTROLES INDUSTRIALES LTDA. ""ICI""";EDUCACIÓN (FORMAL, NO FORMAL A NIVEL LICENCIATURA);Ed. Batallón Colorados P. 2 Of.205 Z. Central;La Paz;Carlos Ivan Saavedra V.;No Brinda Informacion;No Brinda Informacion;
2707;INSUMED-IMPORTACIONES DE INSUMOS MEDICOS;IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;C. Jose Godart Nº. 1274 sector B Z. Alto Obrajes;La Paz;Luis Claure Aliaga;no disponible;no disponible;
2708;INSUMOS SRL;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av Bush #1859 esq Carrasco y Diaz Romero;La Paz;Santiago Gonzalers;santi_oliveira_123@hotmail.com;no brinda esta informacion;
2709;INTEGRADENT BOLIVIA;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;C. Claudio Aliaga Esq. presidente Peñaranda Nº. 1258;La Paz;Grover Gutierres Olivares;integradent@bolivia.com;www.integradent.com.bo;
2710;INTEGRADENT BOLIVIA;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;C. Claudio Aliaga Esq. Presidente Peñaranda Nº. 1258;La Paz;Grover Gutierrez Olivares;integradent@bolivia.com;www.integradent.com.bo;
2711;"INTERNATIONAL BOLIVIAN PACKERS S.R.L. ""INBOLPACK""";SERVICIOS DE MUDANZAS A NIVEL NACIONAL E INTERNACIONAL;C. Colón N. 161 Ed. Barrosquira PB. Z. Central;La Paz;Walter Ibañez B.;walter.ibanez@inbolpack.net;www.inbolpack.net;
2712;INTERNATIONAL BUSINESS TRADE (BOLIVIA) LTDA.;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;Av. 20 de Octubre Nº. 2096 Ed. Galaxia P.1 Z. Sopocachi;La Paz;Julio Cesar Viscarra Teran;info@inbustrade.com;www.inbustrade.com;
2713;INTERNATIONAL CONSULTING GROUP S.R.L.;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;Av. 2 Esq. C. E Nº. 5 Z. de Auquisamaña;La Paz;Christian Antonio Betancourt;no disponible;no disponible;
2714;INTERNATIONAL FUEL S.R.L.;FABRICACIÓN DE CALEGONES A GAS Y ELÉCTRICOS, EQUIPOS SERVICIOS E INSTALACIONES;Carretera Oruro Nº. 50;La Paz;Jose Diego Monasterios Paz;No Brinda Información;http://www.ifgnv.com.bo;
2715;INTERNET;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av. Buenos Aires N°. 890 Puente Avaroa;La Paz;Daneyba Torrez Lima;gavicita2012@hotmail.com;No brinda este dato;
2716;INTERNET;SERVICIOS DE FOTOCOPIAS Y VENTA DE FOTOCOPIADORAS;Av. Buenos Aires Nº 1017;La Paz;Alvaro Pinta;No brinda este dato;Sitio Web No disponible;
2717;INTERNET AREA 51;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Tejada Sorzano #4014;La Paz;Marcela Lopez;cevicapa@hotmail.com;no brinda esta informacion;
2718;INTERNET CARMEN;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av Bush #142B (Plaza Villarroel);La Paz;Carmen Pinilla;leyenda_del@hotmail.com;no brinda esta informacion;
2719;INTERNET ILDA;Feria en Informática, telecomunicaciones, ingenieria, máquinas, herramientas y tecnología;Santa Barbara C. Yungas Nº. 640;La Paz;Ruth Rivero;riv_fer764@hotmail.com;no brinda esta informacion;
2720;INTERNET JO;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Santa Barbara c. Obsipo Cardenas # 1655B;La Paz;Abraham Quisbert;quisbertzuna@hotmail.com;no brinda esta informacion;
2721;INTERNET OXNA;SERVICIOS DE FOTOCOPIAS Y VENTA DE FOTOCOPIADORAS;Av.Buenos Aires z. villa nueva Nº 1590;La Paz;Octavio Yujra;No brinda este dato;Sitio Web No disponible;
2722;INTERNET Y LIBRERÍA EDIER;IMPORTACION Y EXPORTACION , COMERCIO MAYORISTA DE MATERIAL ESCOLAR;Av. Buenos Aires Nº. 3188 Zona Las Lomas;La Paz;No brinda Información;No brinda Información;No brinda Información;
2723;INTERNETH;NO IDENTIFICADO EL TIPO;Z. Cruce Villa Copacabana Av. Esteban Arce No. 1884;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
2724;"INTEROCEAN MERCHANT SERVICES S.R.L. ""IMES""";NO IDENTIFICADO EL TIPO;Plaza España Ed. m. Cristina P. 7 Dpto. B7 Z. Sopocachi;La Paz;Ing. Eugenio Soria Carrion;no disponible;No Disponible;
2725;INTERTOYO DE MARIO RIVERA B.;FABRICACIÓN DE MAQUINARIA Y APARATOS ELÉCTRICOS (MOTORES, GENERADORES, CABLES, PILAS, LAMPARAS, CAJAS DE MEDIDORES);C. Almirante Grau Nº. 433 (san pedro);La Paz;Mario Rivera Baspineiro;no disponible;no disponible;
2726;INTI S.A.;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;C. Lucas Jaimes Nº.1959;La Paz;No Disponible;drogueria@inti.com.bo;www.inti.com.bo;
2727;INTI TECH S.R.L.;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Z. Sopocachi Av. Jaimes Freyre Esq. Mendez y pelayo Nº. 2297 p2;La Paz;Enrique Ramiro Quisbert Vargas;ventas@inti-tech.net;www.intitechsrl.com;
2728;INVENTA PUBLICIDAD E IMPRESOS;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;C. Otero de la Vega Nº. 357;La Paz;Galo Vargas Mercado;inventabolivia@gmail.com;no brinda información;
2729;INVERSIONES DE ALTURA S.A.;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Pablo Rodolfo Delsner B.;no brinda información;no brinda información;
2730;INVERSIONES INDUSTRIALES SRL;FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;C. Illampu. Esq. Tarija Nº. 1032;La Paz;No brinda información;contaco@polartextil.com - elozano@polartextil.com;www.polartextil.com;
2731;INVICTO SPORT;"CURTIDO, PREPARADO DE CUEROS; FABRICACIÓN DE CALZADO, MALETAS, BOLSOS, CHAMARRAS, TALABARTERIA, ART. EN MAT. SINTÉTICO, PLÁSTICOS E IMITACIONES";Av. Buenos Aires N°. 671 entre la C. Max Paredes y Tumusla;La Paz;Nicolas Perez Cruz;No brinda este dato;No brinda este dato;
2732;INVIPSION (DISEÑO DE CREACION DE VIDEOJUEGOS);ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Pza Alonzo de Mendoza C. Bozo Esq.Goyzueta 1er piso Of. 15;La Paz;No Disponible;invipsion@hotmail.com;No Disponible;
2733;IPSOS APOYO OPINION Y MERCADO;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C. Fernando Guachalla N 384 Esq. 20 de Octubre;La Paz;Jhina Portugal;luis.garay@hipsos.com;www.ipsos-apoyo.com.bo;
2734;IPSOS APOYO OPINION Y MERCADO;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C. Fernando Guachalla Nº. 384 Esq. 20 de Octubre;La Paz;No brinda Información;luis.garay@ipsos.com;www.ipsos-apoyo.com.bo;
2735;IPSOS APOYO OPINION Y MERCADO BOLIVIA S.A.;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;Calle Fernando Guachalla 384, Esq. Av. 20 de Octubre, Sopocachi;La Paz;Luis Garay Langberg;gina.portugal@ipsos.com;www.ipsos-apoyo.com.bo/;
2736;IPX SERVER;CORREO Y TELECOMUNICACIONES;Av. 16 de Julio Nº. 1456 Prado Ed. Caracas P. 2;La Paz;Ing. Franklin Llanos Silva;filanos@ipexserver.com;no brinda esta información;
2737;IRMA;FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;Z. Callampaya Av Bautista No. 952;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
2738;IRPA LURAÑA S.R.L. EQUIS BURO DE SERVICIOS;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;C. Campos Nº. 296, Ed. El Ciprés;La Paz;Javier Vega;equisuro@me.com;Sitio Web No disponible;
2739;IRPA LURAÑA S.R.L. EQUIS BURO DE SERVICIOS;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;C. Campos 296, Ed. El Ciprés;La Paz;Javier Vega;equisuro@me.com;Sitio Web No disponible;
2740;ISABEL;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Baptista casi Calatayud Nº. 1032;La Paz;Franco Miranda;No brinda este dato;Página Web no disponible;
2741;ISETEC;EDUCACIÓN (FORMAL, NO FORMAL A NIVEL LICENCIATURA);Av. Las Americas C.119 Shoping La Cumbre;La Paz;Valentin Cari;judit_yana@hotmail.com;no brinda esta informacion;
2742;ISIS COM;CONTABILIDAD ESPECIALIZADA;Av. Ismael Montes of. 3 Nº 737;La Paz;Edgar Pillco Mamani;No brinda este dato;Página Web no disponible;
2743;ISPALLA SRL. (Produccion de especias aromáticas y medicinales);SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Z. San Pedro, C. Cañada Strongest Nº. 1573;La Paz;Ana Maria Condori;ispallsrl@live.com;No brinda este dato;
2744;ISSI;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Hugo Martin Berindoague;no brinda información;no brinda información;
2745;IT - Seven Soluciones Informáticas Integrales;INFORMATICA Y ACTIVIDADES CONEXAS (ANALISTA, PROGRAMADOR, PAQUETES, APLICACIONES, ACCESS COMPLETO,VISUAL FOXPRO, SQL SEVER,ADMINISTRACIÓN -SQL, REDES);C. Batallón Colorados Nº. 24, Ed. El Cóndor P.8 Of. 808 - 05 Zona Central;La Paz;Freddy Ramos Coila;attec_2000@hotmail.com, ventas@itseven.com;Sitio Web No disponible;
2746;ITONAMAS;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);av. Saabedra #1969;La Paz;Jorge Jimenez Jimenez;no brinda esta informacion;no brinda esta informacion;
2747;ITSEVEN;EDUCACION FORMAL y NO FORMAL (NIVELACION,IDIOMAS, MUSICA, DANZA, NATACION Y OTROS);C. Batallón Colorados # 58 Edificio Condor of. 808;La Paz;No brinda este dato;No brinda este dato;http://www.itsevenbolivia.com/servicios.html;
2748;ITTI BOLIVIA S.A.;NO IDENTIFICADO EL TIPO;Av. Arce Nº. 2701 Ed. Illimani P. 3 Of. 3-C;La Paz;Antonio Alfredo Levy;No Brinda Información;www.e-money.com.bo;
2749;IVAN + RODRIGUEZ;SERVICIOS DE FOTOCOPIAS Y VENTA DE FOTOCOPIADORAS;Z. Centro C. Bueno N° 321 of203;La Paz;Ivan Hugo Rodríguez;No Disponible;No Disponible;
2750;IVAN CORNEJO SALAZAR;NO IDENTIFICADO EL TIPO;C. 39 Urb. Los Rosales C. 5 Nº. 700 C. Felipe Lopez Nº.551;La Paz;Ivan Cornejo Salazar;ivancorn@gmail.com;No Disponible;
2751;J & F TRANSPORT AND LOGISTIC S.R.L.;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Av. Heroes Km 7 Nº. 557 559 Villa Bolivar;La Paz;Juan Felipe Aduviri D valos;info@jftransport.com;no brinda esta información;
2752;J & J;SERVICIOS DE FOTOCOPIAS Y VENTA DE FOTOCOPIADORAS;C. Ballivian Nº.1226;La Paz;Judiht Loza;judy-loza@hotmail.com;Sitio Web No disponible;
2753;J & M COSMETICOS;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Calle Adolfo Lumbert Sector B # 827 Zona Alto Obrajes;La Paz;No brinda información;No brinda información;No brinda información;
2754;J & P;CONSTRUCCIÓN, DECORACIÓN DE INTERIORES, ACTIVIDADES Y SERVICIOS RELACIONADOS;Av. Manco Kapac 425 frente a Laboratorio Vita;La Paz;Jasmin Buitron.;jarih@bolivia.com;Sitio Web No disponible;
2755;J & P DE EMMA BUTRON ARANCIBIA;NO IDENTIFICADO EL TIPO;C. Simón Aguirre Nº. 2137;La Paz;Emma Butron de Riveros;no brinda información;no brinda información;
2756;J Y J REPRESENTACIONES INDUSTRIALES;NO IDENTIFICADO EL TIPO;C. San Jose Nº. 100 Villa Fatima;La Paz;Jaime M. Silva Rodriguez;no tiene;no tiene;
2757;J y M;CUERO - CALZADOS - CHAMARRAS;C.Illampu N°632;La Paz;Nilza Jimenéz;No Disponible;No Disponible;
2758;J&S INDUS;FABRICACIÓN DE PROD.DE METAL(METALMECÁNICA), EXC. MAQ/ EQUIPO, LAMINADO Y ESTAMPADO (TANQUES, DEPOSITOS, CUCHILLERIA, ELEMENTOS DE FERRETERIA);Av. Montes Nro. 670 Zona Central;La Paz;No brinda información;jysindus@hotmail.com;No brinda información;
2759;J. GUTIERREZ - AGENCIA DESPACHANTE DE ADUANA S.R.L.;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C. Comercio 830, Ed. Ismar P. 5, Of. 502, Z. Central;La Paz;Jorge Gutierrez;jgutierressrl@hotmail.com/jorgut@caoba.entelnet.bo;Sitio Web No disponible;
2760;J.M.K. (CONFECCION DE CHAMARRAS POLAR);FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;Z. Alto San Pedro, C. Rio Loa Esq. Abelardo Ugarte Nº. 1551;La Paz;Gustavo Arismendi;ventas@jmktex.com;www.jmktex.com;
2761;J.N. GAMES;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Eloy Salmon edif. Imexcar Central of. 23 Nº 862;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
2762;J.R.C.;"FABRICACIÓN DE MUEBLES DE HOGAR,OFICINA, DE MADERA ,COLCHONES ;OTRAS IND. MANUF. (JOYAS, INSTRUMENTOS MUSICALES, JUEGOS Y JUGUETES)";Pérez Velasco C. Murillo entre Sagarnaga Nº. 926;La Paz;Carmen Rosa Rodriguez;No brinda este dato;Sitio Web No disponible;
2763;J.WALTER THOMPSON BOLIVIA S.A.;ACTIVIDADES EMPRESARIALES A NIVEL NACIONAL E INTERNACIONAL (MARKETIN, SECRETARIALES, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C. Lisimaco Gutierrez Nº. 513, Esq. Ascarrunz /Sopocachi;La Paz;Javier Esteban Garc¡a;Javier.Garcia@jwt.com;No Brinda Informacion;
2764;JACHA;CONFECCIÓN DE SOMBREROS Y BORDADOS ESPECIALIZADOS PARA TODO TIPO DE PRENDA;Av. Baptista Nro. 1050 Galería Beymar Zona Callampaya;La Paz;No brinda información;No brinda información;No brinda información;
2765;JACH'A CORP S.R.L.;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Limbert Peñaloza Patzi;no brinda información;no brinda información;
2766;JAMAN CONSULTORES;ACTIVIDADES INMOBILIARIAS;Z. Alto Miraflores Pasaje Monje N°. 604;La Paz;No Disponible;arrascaitajohn@hotmail.com;No Disponible;
2767;JANA S.R.L.;"CURTIDO, PREPARADO DE CUEROS; FABRICACIÓN DE CALZADO, MALETAS, BOLSOS, CHAMARRAS, TALABARTERIA, ART. EN MAT. SINTÉTICO, PLÁSTICOS E IMITACIONES";C. Genaro Sanjinez Nº. 367 Central;La Paz;Jacobo Nemer;jana@entelnet.bo;Sitio Web No disponible;
2768;JANET ZONIA SALINAS CHOQUEHUANCA (Elaboración de mantas de vicuña);FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;Z. Villa Eduardo Avaroa C. 142 N°. 155;La Paz;Janet Zonia Salinas Choquehuanca;No disponoble;No disponoble;
2769;JANETE;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Av. Baptista Nº. 1126;La Paz;Janeta Orosco;No brinda este dato;Página Web no disponible;
2770;JANETH;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av Bush #984(Plaza Villarroel abajo);La Paz;Janeth del Carpio;nuevaimagenbolivia@hotmail.com;no brinda esta informacion;
2771;JARDIN INFANTIL SEMILLITA;EDUCACIÓN (FORMAL, NO FORMAL A NIVEL LICENCIATURA);C. Mujia Nº. 887;La Paz;ROSARIO CLAURE;NO DISPONIBLE;NO DISPONIBLE;
2772;JASS PRODUCCIONES;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Calle Bueno Nº 374;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
2773;JATATAL HOTEL;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Z. San Buenaventura Av. Costanera Cipriano Barace Nº. 1007;La Paz;No brinda este dato;info@boliviamilenaria.com;www.hotelmadidi.com;
2774;JAVI ART (SERIGRAFIA GRAL.);ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Z. Vita Av. Las Muñecas Nº319;La Paz;No brinda este dato;No brinda este dato;Sitio Web No disponible;
2775;JAVI MOTORS;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1709 Zona Alto Tejar;La Paz;No brinda información;No brinda información;No brinda información;
2776;JEB S.R.L;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Z. Central C. Colombia Nº.219;La Paz;No brinda este dato;bol@jebtecnologia.com;www.jebtecnologia.com;
2777;JEB TECNOLOGIA S.R.L.;NO IDENTIFICADO EL TIPO;C. Colombia Nº. 219;La Paz;Gladys Marlene Quispe;jebtecnologí alp@jebelectronics.com Esta dirección electrónica esta protegida contra spam bots. Necesita activar JavaScript para visualizarla  ;www.jebelectronics.com;
2778;JELLICO BOLIVIA;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;C. 3 Nº. 33 Z. Rosasani;La Paz;Pascual Yapu;info@jellico-bolivia.com;no brinda esta información;
2779;JESSY (Asociación de Productores de Calzados La Paz -APROCALPAZ);"CURTIDO, PREPARADO DE CUEROS; FABRICACIÓN DE CALZADO, MALETAS, BOLSOS, CHAMARRAS, TALABARTERIA, ART. EN MAT. SINTÉTICO, PLÁSTICOS E IMITACIONES";Z. Rosario C. Tumusla N°. 524 Galeria 16 de Julio, Subsuelo Local N°12;La Paz;Justino Macusaya Apaza;No Disponible;Sitio Web No Disponible;
2780;JET EXPRESS COURIER;CORREO Y TELECOMUNICACIONES;C. Hnos. Manchego Nº. 2566 (Sopocachi);La Paz;Marcelo Sandi Ovando;jetexpresscargo.com;jetexpresscargo.com;
2781;JF BARRIOS;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;Z. Cementerio General y C. Ballivian Nº. 1317;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
2782;JID CARGO BOLIVIA;NO IDENTIFICADO EL TIPO;Av. 6 de Marzo Nº. 555 P1 Of. 5;La Paz;Jimena Ines Duran Salazar;No Brinda Información;No Brinda Información;
